Usina elétrica;Dispositivo;Categoria;Evento;Subevento/Categorização;Data de início;Data Final;Duração;Descrição de categorização
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:42:57.703;2025/01/24 01:42:59.704;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:44:50.311;2025/01/24 01:44:55.331;00:00:05;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:51:13.573;2025/01/24 01:51:19.603;00:00:06;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:52:53.243;2025/01/24 01:53:05.321;00:00:12;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:54:42.948;2025/01/24 01:54:51.996;00:00:09;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:58:27.196;2025/01/24 01:58:29.197;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 01:59:55.665;2025/01/24 02:00:12.757;00:00:17;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:03:58.114;2025/01/24 02:04:00.127;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:05:46.799;2025/01/24 02:05:49.816;00:00:03;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:07:08.236;2025/01/24 02:07:15.283;00:00:07;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:08:35.770;2025/01/24 02:09:03.985;00:00:28;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:09:35.196;2025/01/24 02:09:38.207;00:00:03;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:10:08.408;2025/01/24 02:10:21.474;00:00:13;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:12:53.356;2025/01/24 02:12:55.372;00:00:02;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:14:03.717;2025/01/24 02:14:28.872;00:00:25;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:14:59.028;2025/01/24 02:15:03.060;00:00:04;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:16:16.530;2025/01/24 02:16:28.577;00:00:12;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:18:25.388;2025/01/24 02:18:31.405;00:00:06;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:19:42.870;2025/01/24 02:20:10.043;00:00:27;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:21:13.470;2025/01/24 02:21:20.486;00:00:07;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:22:11.783;2025/01/24 02:22:20.832;00:00:09;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:22:52.022;2025/01/24 02:22:53.033;00:00:01;
Vila_Guanabara_1;VGU1-01;Aviso;541 Pressão da água do gerador baixa;;2025/01/24 02:23:39.267;2025/01/24 02:24:05.438;00:00:26;
